CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,sub_Verbal Ability,sub_Current Affairs,Sub_General Science,Sub_Numerical Ability,Sub_Social Science,Total,Test Rank,Group Rank,Percentage
6181,,,,,125,PBU 2020,40,35,16,26,20,137,41,0,42.812
6182,,,,,125,PBU 2020,25,5,0,0,25,55,118,0,17.188
6184,,,,,125,PBU 2020,15,20,10,5,25,75,99,0,23.438
6187,,,,,125,PBU 2020,33,13,5,13,20,84,90,0,26.25
6189,,,,,125,PBU 2020,35,30,25,15,20,125,53,0,39.062
6190,,,,,125,PBU 2020,0,25,15,15,-5,50,122,0,15.625
6191,,,,,125,PBU 2020,35,19,8,0,7,69,105,0,21.562
6192,,,,,125,PBU 2020,45,25,0,15,0,85,89,0,26.562
6193,,,,,125,PBU 2020,20,0,16,20,5,61,112,0,19.062
6194,,,,,125,PBU 2020,60,20,15,21,15,131,47,0,40.938
6195,,,,,125,PBU 2020,40,10,5,2,20,77,97,0,24.062
6196,,,,,125,PBU 2020,50,7,-1,2,13,71,103,0,22.188
6197,,,,,125,PBU 2020,15,22,15,1,-5,48,124,0,15
6198,,,,,125,PBU 2020,15,45,0,-5,10,65,109,0,20.312
6199,,,,,125,PBU 2020,37,24,5,6,8,80,94,0,25
6200,,,,,125,PBU 2020,35,35,0,5,10,85,89,0,26.562
6201,,,,,125,PBU 2020,5,10,-5,10,0,20,145,0,6.25
6202,,,,,125,PBU 2020,20,25,5,20,10,80,94,0,25
6203,,,,,125,PBU 2020,50,7,-1,2,13,71,103,0,22.188
6204,,,,,125,PBU 2020,35,25,15,25,5,105,72,0,32.812
6205,,,,,125,PBU 2020,15,5,-5,-10,-5,0,154,0,0
6206,,,,,125,PBU 2020,0,10,5,30,15,60,113,0,18.75
6208,,,,,125,PBU 2020,26,40,-5,10,0,71,103,0,22.188
6209,,,,,125,PBU 2020,45,30,10,25,5,115,62,0,35.938
6211,,,,,125,PBU 2020,40,35,15,25,20,135,43,0,42.188
6212,,,,,125,PBU 2020,0,-5,-10,5,20,10,152,0,3.125
6213,,,,,125,PBU 2020,-5,15,5,0,10,25,141,0,7.812
6215,,,,,125,PBU 2020,29,12,-5,0,5,41,129,0,12.812
6217,,,,,125,PBU 2020,35,20,0,10,15,80,94,0,25
6218,,,,,125,PBU 2020,35,40,15,25,25,140,39,0,43.75
6219,,,,,125,PBU 2020,36,45,15,25,25,146,34,0,45.625
6220,,,,,125,PBU 2020,30,26,15,15,15,101,76,0,31.562
6223,,,,,125,PBU 2020,25,30,15,15,15,100,77,0,31.25
6224,,,,,125,PBU 2020,45,10,5,0,5,65,109,0,20.312
6225,,,,,125,PBU 2020,15,15,15,5,20,70,104,0,21.875
6226,,,,,125,PBU 2020,20,40,15,15,5,95,81,0,29.688
6227,,,,,125,PBU 2020,50,25,5,20,-5,95,81,0,29.688
6228,,,,,125,PBU 2020,40,45,10,15,15,125,53,0,39.062
6229,,,,,125,PBU 2020,20,5,11,-5,-4,27,139,0,8.438
6230,,,,,125,PBU 2020,35,5,10,20,10,80,94,0,25
6231,,,,,125,PBU 2020,22,15,15,-3,5,54,119,0,16.875
6235,,,,,125,PBU 2020,20,6,6,6,-3,35,133,0,10.938
6237,,,,,125,PBU 2020,21,25,0,5,10,61,112,0,19.062
6238,,,,,125,PBU 2020,45,5,5,5,-10,50,122,0,15.625
6239,,,,,125,PBU 2020,35,35,15,0,20,105,72,0,32.812
6240,,,,,125,PBU 2020,25,25,-5,10,-5,50,122,0,15.625
6242,,,,,125,PBU 2020,30,20,15,15,10,90,86,0,28.125
6243,,,,,125,PBU 2020,15,-1,17,-9,-1,21,144,0,6.562
6244,,,,,125,PBU 2020,15,10,10,15,10,60,113,0,18.75
6245,,,,,125,PBU 2020,20,27,1,14,8,70,104,0,21.875
6246,,,,,125,PBU 2020,25,20,0,0,10,55,118,0,17.188
6247,,,,,125,PBU 2020,10,20,6,10,20,66,108,0,20.625
6248,,,,,125,PBU 2020,48,25,16,1,12,102,75,0,31.875
627,,,,,125,PBU 2020,35,20,0,10,15,80,94,0,25
6475,,,,,125,PBU 2020,45,25,10,5,20,105,72,0,32.812
